word,definition,part_of_speech,synonyms
ileocecal,"of, relating to, or connecting the ileum and cecum",adjective,['ileocecal']
phendimetrazine,an appetite suppressant that is a sympathetic amine with pharmacological activity similar to the amphetamines and is administered orally usually in the form of its bitartrate C12H17NO·C4H6O6 to assist weight reduction especially in the treatment of obesity,noun,['phendimetrazine']
indomethacin,an NSAID C19H16ClNO4 with analgesic and antipyretic properties used especially to treat painful inflammatory conditions (as rheumatoid arthritis and osteoarthritis),noun,"['indomethacin', 'indomethacins']"
pentamethonium,an organic ion [C11H28N2]2+ used in the form of its salts (as the bromide and iodide) for its ganglionic blocking activity in the treatment of hypertension,noun,['pentamethonium']
pyrimethamine,a folic acid antagonist C12H13ClN4 that is used in the treatment of toxoplasmosis and in the prevention and treatment of malaria,noun,"['pyrimethamine', 'pyrimethamines']"
condiment,something used to enhance the flavor of food; especially : a pungent seasoning,noun,"['condiment', 'condimental', 'condiments']"
digitalin,a white crystalline steroid glycoside C36H56O14 obtained from seeds of the common European foxglove (Digitalis purpurea),noun,"['digitalin', 'digitalins']"
dimethyl,containing two methyl groups in a molecule —often used in combination,adjective,['dimethyl']
penicillin,"a mixture of relatively nontoxic antibiotic acids produced especially by molds of the genus Penicillium (as P. notatum or P. chrysogenum) and having a powerful bacteriostatic effect against various chiefly gram-positive bacteria (as staphylococci, gonococci, pneumococci, hemolytic streptococci, or some meningococci)",noun,"['penicillin', 'penicillins']"
semilethal,a mutation that in the homozygous condition produces more than 50 percent mortality but not complete mortality,noun,"['semilethal', 'semilethals']"
beclomethasone,a steroid anti-inflammatory drug administered in the form of its dipropionate C28H37ClO7 as an oral inhalant to treat asthma and as a nasal spray to treat rhinitis and prevent the growth of nasal polyps,noun,['beclomethasone']
exostosis,a spur or bony outgrowth from a bone or the root of a tooth,noun,"['exostoses', 'exostosis', 'exostotic']"
hydragogue,a cathartic that causes copious watery discharges from the bowels,noun,"['hydragog', 'hydragogs', 'hydragogue', 'hydragogues']"
lymphagogue,an agent that promotes lymph production or lymph flow,noun,['lymphagogue']
coprophagy,the eating of feces that is normal behavior among many animals,noun,"['coprophagia', 'coprophagic', 'coprophagies', 'coprophagist', 'coprophagists', 'coprophagous', 'coprophagy']"
secretagogue,a substance that stimulates secretion (as by the stomach or pancreas),noun,"['secretagogue', 'secretagogues', 'secretogogue', 'secretogogues']"
cholecystagogue,an agent (as cholecystokinin) that causes the gallbladder to discharge bile,noun,"['cholecystagogue', 'cholecystagogues']"
anorectal,"of, relating to, or involving both the anus and rectum",adjective,['anorectal']
rectum,the terminal part of the intestine from the sigmoid colon to the anus,noun,"['recta', 'rectum', 'rectums']"
pararectus,situated or performed along the side of the rectus muscle,adjective,['pararectus']
anestrus,the period of sexual quiescence between two periods of sexual activity in cyclically breeding mammals,noun,"['anestri', 'anestrus', 'anoestri', 'anoestrus']"
sorbitan,an anhydride C6H12O5 of sorbitol from which various fatty acid esters are derived for use as surfactants and emulsifying agents,noun,"['sorbitan', 'sorbitans']"
sorbitol,"a faintly sweet alcohol C6H14O6 that occurs especially in fruits of the mountain ash (genus Sorbus), is made synthetically, and is used especially as a humectant, a softener, and a sweetener and in making ascorbic acid",noun,"['sorbitol', 'sorbitols']"
scorbutic,"of, relating to, producing, or affected with scurvy",adjective,['scorbutic']
orbital,"a subdivision of a nuclear shell containing zero, one, or two electrons",noun,"['orbital', 'orbitals']"
sorption,the process of sorbing : the state of being sorbed,noun,"['sorption', 'sorptions', 'sorptive']"
suborbital,situated or occurring beneath the eye or the orbit of the eye,adjective,['suborbital']
biorbital,of or relating to the two orbits; specifically : relating to a measure taken between the outer borders of the bony orbits on the skull or between the outer corners of the eyes on the living body,adjective,['biorbital']
leukosis,leukemia; especially : any of various leukemic diseases of poultry,noun,"['leucoses', 'leucosis', 'leucotic', 'leukoses', 'leukosis', 'leukotic']"
leukotaxis,the quality or state of being leukotactic : the ability to attract white blood cells,noun,"['leucotaxis', 'leukotaxes', 'leukotaxis']"
leucine,a white crystalline essential amino acid C6H13NO2 obtained by the hydrolysis of most dietary proteins —abbreviation Leu,noun,"['leucine', 'leucines']"
leukotoxin,a substance specifically destructive to white blood cells,noun,"['leucotoxin', 'leukotoxin', 'leukotoxins']"
leucinosis,a condition characterized by an abnormally high concentration of leucine in bodily tissues and the presence of leucine in the urine,noun,"['leucinoses', 'leucinosis', 'leucinosises']"
leukotaxine,a crystalline polypeptide that is obtained from the fluid at sites of inflammation in the body and that increases the permeability of capillaries and migration of white blood cells,noun,"['leucotaxine', 'leucotaxines', 'leukotaxine', 'leukotaxines']"
leukemia,"an acute or chronic disease of unknown cause in humans and other warm-blooded animals that involves the blood-forming organs, is characterized by an abnormal increase in the number of white blood cells in the tissues of the body with or without a corresponding increase of those in the circulating blood, and is classified according to the type of white blood cell most prominently involved",noun,"['leucaemia', 'leucaemias', 'leucemia', 'leucemias', 'leukaemia', 'leukaemias', 'leukemia', 'leukemias', 'leukemic', 'leukemics']"
leukocidin,a heat-stable substance (as that produced by some bacteria) capable of killing or destroying white blood cells,noun,"['leucocidin', 'leucocidins', 'leukocidin']"
apicitis,inflammation of the apex of an organ or anatomical part (such as the lung or the root of a tooth): as,noun,"['apicites', 'apicitis']"
metopic,"of or relating to the forehead : frontal; especially : of, relating to, or being a suture uniting the frontal bones in the fetus and sometimes persistent after birth",adjective,['metopic']
nest,an isolated collection or clump of cells in tissue of a different structure,noun,"['nest', 'nests']"
cyst,a closed sac having a distinct membrane and developing abnormally in a body cavity or structure,noun,"['cyst', 'cysts']"
duct,a bodily tube or vessel especially when carrying the secretion of a gland,noun,"['duct', 'ductal', 'ductless', 'ducts']"
neck,the usually narrowed part of an animal that connects the head with the body; specifically : the cervical region of a vertebrate,noun,"['neck', 'necks']"
nick,a break in one strand of two-stranded DNA caused by a missing phosphodiester bond,noun,"['nick', 'nicks']"
nit,the egg of a louse or other parasitic insect; also : the insect itself when young,noun,"['nit', 'nits']"
glucocerebroside,a lipid composed of a ceramide and glucose that accumulates in the tissues of patients affected with Gaucher disease,noun,"['glucocerebroside', 'glucocerebrosides']"
ulcer,"a break in skin or mucous membrane with loss of surface tissue, disintegration and necrosis of epithelial tissue, and often pus",noun,"['ulcer', 'ulcered', 'ulcering', 'ulcers']"
acerola,a West Indian shrub (genus Malpighia) with mildly acid cherrylike fruits rich in vitamin C,noun,"['acerola', 'acerolas']"
ulceration,the process of becoming ulcerated : the state of being ulcerated,noun,"['ulceration', 'ulcerations', 'ulcerative']"
ulcerogenic,tending to produce or develop into ulcers or ulceration,adjective,['ulcerogenic']
flexible,"capable of being flexed : capable of being turned, bowed, or twisted without breaking",adjective,"['flexibilities', 'flexibility', 'flexible', 'flexibly']"
coprostanol,a crystalline sterol C27H47OH formed by bacterial reduction of cholesterol in the intestines and present in feces,noun,"['coprostanol', 'coprostanols']"
fluoroquinolone,any of a group of fluorinated derivatives (such as ciprofloxacin and levofloxacin) of quinolone that are used as antibacterial drugs,noun,"['fluoroquinolone', 'fluoroquinolones']"
androstenediol,any of several isomers of androstenedione that are synthesized from dehydroepiandrosterone and are precursors of testosterone,noun,['androstenediol']
